Standard_Term,Alternative_Descriptions
Foraging: Sallying,"flying out from a branch, catching bugs in mid-air, flycatching, darting out and returning, swooping for insects, flying out to catch a bug"
Foraging: Gleaning,"picking bugs off leaves, searching through branches, hopping in the canopy, looking under leaves, gleaning, picking at seeds"
Foraging: Probing,"sticking beak in mud, probing, digging with beak, sticking bill in flowers, stabbing the ground, poking the sand"
Foraging: Scratching,"kicking the dirt, scratching the ground, hopping backward, kicking leaves, foraging in leaf litter"
Movement: Trunk-creeping,"climbing up trees, walking up bark, clinging to trunk, going down trees headfirst, crawling on bark, scaling tree, hanging on the side of a tree"
Movement: Ground-hopping,"hopping on the ground, jumping on the grass, bouncing on the ground, hopping along"
Movement: Ground-walking/running,"walking on the ground, running, sprinting, walking like a chicken, strolling, walking fast"
Water: Wading,"wading, standing in shallow water, walking in the water, stalking in the shallows"
Water: Dabbling,"tipping up, tails in the air, feeding on the surface, bottoms up, butt in the air, dabbling, skimming water"
Water: Diving/Plunging,"diving underwater, plunging into the water, swimming underwater, completely submerged, diving for fish"
Water: Surface-swimming,"floating, swimming like a duck, paddling, sitting on the water, surface swimming"
Flight: Undulating,"roller coaster flight, flap and glide, bounding flight, swooping up and down, dipping flight, bouncing in the air"
Flight: Soaring/Gliding,"soaring, gliding, riding thermals, flying in circles without flapping, flat wings, flying high up"
Flight: Hovering/Kiting,"hovering, staying in one spot in the air, kiting, flapping without moving, helicoptering"
Flight: Aerial-foraging,"sweeping flight, catching bugs on the wing, erratic flying, fast swooping, flying constantly, darting around the sky"
Flight: Direct/Strong,"straight flight, flying straight, strong flapping, steady wingbeats, flying normally, direct flight"
Posture: Upright-perching,"sitting straight up, perching vertically, sitting on a wire looking down, upright posture, exposed perch"
Posture: Tail-bobbing,"pumping tail, wagging tail, dipping tail, bobbing tail up and down, flicking tail, bouncing tail"
Posture: Tail-cocking,"tail pointing straight up, holding tail up over back, wren-like tail, cocked tail, tail flipped up"
